MaxwellSales,MaxwellPrice,MaxwellDisplay,MaxwellFeature
3958.474402,1.77473974,0,0
4316.57686,1.672732241,0,0
7035.389704,1.391402119,1,1
4974.611263,1.624515997,0,1
4129.572729,1.693478978,0,0
5660.319935,1.667964082,0,0
4104.531152,1.89316254,0,0
9693.615971,1.126037476,0,1
6570.41968,1.501630042,0,0
2568.357966,1.836106853,0,0
7839.867374,1.260590038,1,1
5421.768414,1.557368521,0,1
2975.295441,1.74189448,0,0
4766.26157,1.60831243,1,0
5019.68669,1.682164557,0,0
3404.496326,1.801361636,1,0
4176.277489,1.790552396,0,0
14012.21443,1.199877466,1,1
7951.933298,1.269448202,0,0
4534.121963,1.723079283,1,1
4125.125828,1.717122238,0,0
3768.167392,1.791871348,0,0
4629.399039,1.756515618,0,0
5322.476743,1.595935717,0,1
10094.06736,1.239912183,1,1
6866.934567,1.444776285,0,1
3960.592551,1.741471099,0,0
3310.651485,1.815164358,0,0
4105.987206,1.750803907,1,0
3628.636224,1.785075368,0,0
3856.42878,1.73805673,0,1
4880.02126,1.665539733,0,1
9406.654664,1.446072768,1,1
4678.25901,1.572131382,1,1
3980.183052,1.677022871,0,0
3573.174701,1.714521711,0,0
9182.173979,1.296284586,1,1
3522.967306,1.711554465,0,0
5482.049778,1.605033077,1,1
3126.199654,1.748285023,0,0
5090.396386,1.737739879,0,0
3147.285436,1.861845816,0,0
4415.277584,1.725911358,0,0
4258.48976,1.869403931,0,0
3410.388839,1.846801933,0,0
2271.631471,2.061050535,0,0
4367.637108,1.779895914,1,1
4427.561615,1.787926883,0,0
3245.886777,1.943624808,0,0
3650.18056,1.909878928,0,0
8981.945914,1.419501886,1,1
4606.01573,1.668229198,0,0
3692.205781,1.808332573,0,0
4387.744283,1.914273436,0,0
5071.25169,1.798638284,0,0
8126.245992,1.344581529,1,1
4320.071458,1.59561494,0,0
6421.930471,1.432270927,1,1
5733.710415,1.612669402,0,0
4313.821682,1.650491546,0,0
3870.454854,1.658604825,0,0
5253.093938,1.584397971,1,1
3580.997118,1.70403321,0,0
3392.4808,1.783922436,0,0
9840.44641,1.317188689,1,1
4573.949157,1.586171695,0,0
5644.501743,1.563466462,1,0
4503.279056,1.679900116,0,0
3541.949008,1.786451727,0,0
4514.447837,1.744556192,0,0
6754.823383,1.508546841,1,1
3612.035228,1.613409817,0,0
3624.674866,1.892329776,0,0
4080.551336,1.726622409,0,0
4218.109757,1.717261963,0,0
4363.282207,1.768561561,0,0
7786.682732,1.375731518,1,1
6466.63401,1.443909861,1,1
3460.639192,1.608816949,0,0
4859.831967,1.661936347,0,0
4509.235785,1.718822403,0,0
4657.836899,1.738039765,0,0
3962.534652,1.698705499,0,0
4674.937261,1.433152417,1,0
3545.282839,1.682076392,0,0
6349.541082,1.441645694,1,1
5378.760237,1.611599112,0,0
12537.44378,1.122854214,1,1
8257.757063,1.30563118,1,1
3278.073618,1.841565247,0,0
3815.292393,1.819898208,0,0
3602.894903,1.78629192,0,0
4488.829808,1.761053193,0,0
5301.604612,1.77369299,0,0
9418.659524,1.252772493,1,1
4746.379438,1.5339626,0,0
4393.051112,1.640461214,1,0
4074.055574,1.65249017,0,0
5416.347637,1.580640801,0,1
3875.478627,1.707848645,0,0
5937.749388,1.589322176,1,1
5221.858481,1.553344014,0,0
3695.016721,1.705367054,0,0
4534.046436,1.685290673,0,0
