,Tuition,Prestige,Placement,Class Size,Faculty,Location
WCB,5.020408163,6.66,6.723404255,7.770833333,7.595744681,4.28
Sloan,4.808510638,8.42,8.133333333,6.880952381,8.545454545,7.734693878
Harvard,4.680851064,7.82,8,6.227272727,8.044444444,7.32
RobertSmith,6.461538462,5.534883721,5.555555556,5.470588235,5.8,4.425
Tuck,5.425,7.066666667,6.972972973,7.324324324,7.55,4.75
Goizueta,5.642857143,6.152173913,6.564102564,6.945945946,6.717948718,5.697674419
Johnson,4.977272727,7.591836735,7.363636364,6.902439024,7.857142857,5.127659574
Fuqua,4.933333333,7.520833333,6.888888889,6.071428571,7.30952381,5.1875
KenanFlagler,5.41025641,6.113636364,6.210526316,6.588235294,6.605263158,5.05
